,OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
40895,42001,Lightning,MT,8/21/1992,8/22/1992,1992,0.1,45.90666667,-113.99333329999999,1
40896,42002,Lightning,MT,8/25/1992,8/25/1992,1992,0.3,45.89166667,-113.69333329999999,0
40897,42003,Campfire,MT,9/12/1992,9/12/1992,1992,0.1,45.69333333,-113.95833329999999,0
40898,42004,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,46.02833333,-113.70166670000002,1
40899,42005,Lightning,MT,5/19/1992,5/20/1992,1992,0.1,45.88333333,-114.2,1
40900,42006,Campfire,ID,5/24/1992,5/24/1992,1992,0.1,45.66666667,-114.76666670000002,0
40901,42007,Lightning,ID,6/10/1992,6/14/1992,1992,0.1,45.87166667,-114.81666670000001,4
40902,42008,Lightning,ID,6/10/1992,6/11/1992,1992,0.3,45.85333333,-114.79,1
40903,42009,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.675,-114.37166670000002,1
40904,42010,Lightning,MT,6/10/1992,6/11/1992,1992,0.3,45.75166667,-114.24,1
40905,42011,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.8,-114.28333329999998,1
40906,42012,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.75,-114.38333329999999,1
40907,42013,Lightning,MT,6/10/1992,6/11/1992,1992,0.1,45.7,-114.28333329999998,1
40908,42014,Lightning,MT,6/11/1992,6/11/1992,1992,0.1,45.83333333,-114.38,0
40909,42015,Lightning,MT,6/11/1992,6/12/1992,1992,0.1,45.58333333,-114.31666670000001,1
40910,42016,Lightning,MT,6/12/1992,6/12/1992,1992,0.1,45.79333333,-114.33833329999999,0
40911,42017,Lightning,MT,6/24/1992,6/25/1992,1992,0.1,45.56166667,-114.41666670000001,1
40912,42018,Lightning,MT,6/24/1992,6/25/1992,1992,0.1,45.78333333,-114.26666670000002,1
40913,42019,Lightning,ID,6/25/1992,6/26/1992,1992,0.1,45.7,-114.83333329999999,1
40914,42020,Lightning,ID,7/8/1992,7/8/1992,1992,0.2,45.82166667,-114.71,0
40915,42021,Debris Burning,MT,7/7/1992,7/8/1992,1992,0.1,45.86666667,-114.215,1
40916,42022,Lightning,MT,7/21/1992,7/22/1992,1992,0.1,45.83333333,-114.26666670000002,1
40917,42023,Lightning,ID,7/22/1992,7/24/1992,1992,0.1,45.71166667,-114.86833329999999,2
40918,42024,Lightning,MT,8/19/1992,8/20/1992,1992,0.5,45.75166667,-114.42333329999998,1
40919,42025,Lightning,MT,8/19/1992,8/21/1992,1992,4.0,45.63666667,-114.12166670000002,2
40920,42026,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,45.59,-114.10666670000002,1
40921,42027,Lightning,MT,8/19/1992,8/20/1992,1992,0.7,45.59,-114.13333329999999,1
40922,42028,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,45.67166667,-114.385,1
40923,42029,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,45.70666667,-114.39666670000001,1
40924,42030,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,45.625,-114.355,1
40925,42031,Lightning,MT,8/19/1992,8/23/1992,1992,0.2,45.63666667,-114.235,4
40926,42032,Lightning,MT,8/19/1992,8/19/1992,1992,0.1,45.71666667,-114.40333329999999,0
40927,42033,Lightning,ID,8/19/1992,9/29/1992,1992,0.1,45.92,-114.52333329999999,41
40928,42034,Lightning,ID,8/19/1992,9/29/1992,1992,0.3,45.94333333,-114.42833329999999,41
40929,42035,Lightning,ID,8/19/1992,9/29/1992,1992,2.0,45.92166667,-114.43833329999998,41
40930,42036,Lightning,ID,8/19/1992,9/29/1992,1992,1.0,45.92166667,-114.43833329999998,41
40931,42037,Lightning,ID,8/19/1992,8/29/1992,1992,0.3,45.92,-114.5983333,10
40932,42038,Lightning,ID,8/19/1992,8/25/1992,1992,2.0,45.84,-114.62333329999998,6
40933,42039,Lightning,MT,8/19/1992,8/23/1992,1992,0.1,45.855,-114.45666670000001,4
40934,42040,Lightning,ID,8/19/1992,9/29/1992,1992,5.0,45.90666667,-114.41666670000001,41
40935,42041,Lightning,ID,8/19/1992,9/29/1992,1992,0.5,45.9,-114.52333329999999,41
40936,42042,Lightning,ID,8/19/1992,9/29/1992,1992,1.0,45.91333333,-114.50333329999998,41
40937,42043,Lightning,ID,8/19/1992,9/29/1992,1992,1.0,45.90666667,-114.50333329999998,41
40938,42044,Lightning,ID,8/19/1992,8/26/1992,1992,3.0,45.95833333,-114.59,7
40939,42045,Lightning,ID,8/19/1992,9/29/1992,1992,20.0,45.9,-114.555,41
40940,42046,Lightning,MT,8/19/1992,8/20/1992,1992,0.1,45.71666667,-114.43666670000002,1
40941,42047,Lightning,MT,8/20/1992,8/20/1992,1992,0.1,45.685,-114.405,0
40942,42048,Lightning,ID,8/20/1992,8/21/1992,1992,0.3,45.78333333,-114.84166670000002,1
40943,42049,Lightning,ID,8/20/1992,9/29/1992,1992,0.3,45.92166667,-114.47,40
40944,42050,Lightning,ID,8/20/1992,9/29/1992,1992,40.0,45.97166667,-114.51333329999999,40
40945,42051,Lightning,MT,8/20/1992,8/20/1992,1992,0.1,45.70666667,-114.475,0
40946,42052,Lightning,ID,8/20/1992,9/30/1992,1992,60.0,45.81166667,-114.7233333,41
40947,42053,Lightning,ID,8/20/1992,8/25/1992,1992,0.5,45.90666667,-114.705,5
40948,42054,Lightning,ID,8/21/1992,8/22/1992,1992,0.5,45.705,-114.81666670000001,1
40949,42055,Lightning,ID,8/20/1992,8/23/1992,1992,0.1,45.71,-114.77833329999999,3
40950,42056,Lightning,ID,8/20/1992,9/30/1992,1992,100.0,45.68166667,-114.89166670000002,41
40951,42057,Lightning,ID,8/20/1992,8/29/1992,1992,12.0,45.86166667,-114.805,9
40952,42058,Lightning,ID,8/20/1992,8/23/1992,1992,0.1,45.71,-114.80666670000001,3
40953,42059,Lightning,ID,8/20/1992,8/23/1992,1992,0.1,45.67333333,-114.785,3
40954,42060,Lightning,ID,8/20/1992,8/23/1992,1992,0.1,45.935,-114.64666670000001,3
40955,42061,Lightning,ID,8/20/1992,8/23/1992,1992,0.1,45.84833333,-114.69166670000001,3
40956,42062,Lightning,ID,8/20/1992,8/26/1992,1992,5.0,45.95333333,-114.66833329999999,6
40957,42063,Lightning,ID,8/20/1992,8/29/1992,1992,0.3,45.84833333,-114.805,9
40958,42064,Lightning,ID,8/29/1992,8/29/1992,1992,0.8,45.92,-114.87666670000002,0
40959,42065,Lightning,ID,8/21/1992,8/28/1992,1992,50.0,45.79,-114.855,7
40960,42066,Lightning,ID,8/21/1992,8/23/1992,1992,7.0,45.68833333,-114.81666670000001,2
40961,42067,Lightning,ID,8/22/1992,8/23/1992,1992,2.0,45.88333333,-114.74,1
40962,42068,Lightning,MT,8/19/1992,8/21/1992,1992,0.7,45.62166667,-114.07166670000001,2
40963,42069,Lightning,MT,8/19/1992,8/21/1992,1992,0.5,45.62166667,-114.07166670000001,2
